study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJNA301892	SAMN04260214	SRS1163558	SRX1432532	SRR2917292	62155	Emberizinae	Illumina	HiSeq	2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/002/SRR2917292/SRR2917292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/002/SRR2917292/SRR2917292_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/002/SRR2917292/SRR2917292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/002/SRR2917292/SRR2917292_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/002/SRR2917292	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/002/SRR2917292		
PRJNA301892	SAMN04260215	SRS1163557	SRX1432533	SRR2917293	62155	Emberizinae	Illumina	HiSeq	2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/003/SRR2917293/SRR2917293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/003/SRR2917293/SRR2917293_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/003/SRR2917293/SRR2917293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/003/SRR2917293/SRR2917293_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/003/SRR2917293	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/003/SRR2917293		
PRJNA301892	SAMN04260216	SRS1163556	SRX1432534	SRR2917294	62155	Emberizinae	Illumina	HiSeq	2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/004/SRR2917294/SRR2917294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/004/SRR2917294/SRR2917294_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/004/SRR2917294/SRR2917294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/004/SRR2917294/SRR2917294_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/004/SRR2917294	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/004/SRR2917294		
PRJNA301892	SAMN04260217	SRS1163555	SRX1432535	SRR2917295	62155	Emberizinae	Illumina	HiSeq	2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/005/SRR2917295/SRR2917295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/005/SRR2917295/SRR2917295_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/005/SRR2917295/SRR2917295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/005/SRR2917295/SRR2917295_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/005/SRR2917295	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/005/SRR2917295		
PRJNA301892	SAMN04260218	SRS1163554	SRX1432536	SRR2917296	62155	Emberizinae	Illumina	HiSeq	2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/006/SRR2917296/SRR2917296_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/006/SRR2917296/SRR2917296_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/006/SRR2917296/SRR2917296_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/006/SRR2917296/SRR2917296_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/006/SRR2917296	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/006/SRR2917296		
PRJNA301892	SAMN04260219	SRS1163553	SRX1432537	SRR2917297	62155	Emberizinae	Illumina	HiSeq	2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/007/SRR2917297/SRR2917297_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/007/SRR2917297/SRR2917297_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/007/SRR2917297/SRR2917297_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/007/SRR2917297/SRR2917297_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/007/SRR2917297	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/007/SRR2917297		
PRJNA301892	SAMN04260220	SRS1163552	SRX1432538	SRR2917298	62155	Emberizinae	Illumina	HiSeq	2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/008/SRR2917298/SRR2917298_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/008/SRR2917298/SRR2917298_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/008/SRR2917298/SRR2917298_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/008/SRR2917298/SRR2917298_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/008/SRR2917298	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/008/SRR2917298		
PRJNA301892	SAMN04260221	SRS1163551	SRX1432539	SRR2917299	62155	Emberizinae	Illumina	HiSeq	2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/009/SRR2917299/SRR2917299_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/009/SRR2917299/SRR2917299_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/009/SRR2917299/SRR2917299_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/009/SRR2917299/SRR2917299_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/009/SRR2917299	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/009/SRR2917299		
PRJNA301892	SAMN04260222	SRS1163550	SRX1432540	SRR2917300	62155	Emberizinae	Illumina	HiSeq	2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/000/SRR2917300/SRR2917300_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/000/SRR2917300/SRR2917300_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/000/SRR2917300/SRR2917300_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/000/SRR2917300/SRR2917300_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/000/SRR2917300	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/000/SRR2917300		
PRJNA301892	SAMN04260223	SRS1163549	SRX1432541	SRR2917301	62155	Emberizinae	Illumina	HiSeq	2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/001/SRR2917301/SRR2917301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/001/SRR2917301/SRR2917301_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/001/SRR2917301/SRR2917301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR291/001/SRR2917301/SRR2917301_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/001/SRR2917301	ftp.sra.ebi.ac.uk/vol1/srr/SRR291/001/SRR2917301		
